prompt_id,prompt,q_text,q_image,q_audio,q_combined,judge_mean,judge_grade,text_score,image_score,lr_pred,nb_p_good,nb_p_good_loo,lr_gr,lr_gr_loo
23,A raccoon and a peacock painting a mural,0.832437,0.463107972788875,0.871709414814875,0.7582,3.25,0.5625,4.0,2.5,3.6654,0.2718,0.2732,0.5827,0.6068
24,A lion and a seahorse repairing a pocket watch,0.841213,0.458584715173875,0.850736286796875,0.7621,3.5,0.625,4.0,3.0,3.7081,0.2379,0.24,0.5103,0.5397
25,A dragonfly coach building a birdhouse,0.838129,0.445436433834875,0.844145614302,0.7566,3.5,0.625,4.0,3.0,3.6488,0.173,0.1759,0.3893,0.4284
26,A toucan and a pufferfish planting a bonsai tree,0.842935,0.456241323249875,0.872795182753875,0.7644,3.75,0.6875,4.5,3.0,3.7319,0.3209,0.3225,0.6519,0.6718
27,A cheerful narwhal fisherman with a tiny umbrella,0.844799,0.444715293769875,0.8850208655920001,0.7642,3.75,0.6875,3.5,4.0,3.7297,0.3415,0.3436,0.675,0.6941
28,A ladybug dj dancing in the rain,0.829717,0.479712245022,0.8799284861688751,0.7603,3.75,0.6875,4.0,3.5,3.6865,0.3161,0.3179,0.6545,0.6747
29,"A moth planting a bonsai tree in a candlelit cafe, photorealistic",0.837127,0.5233834505995,0.862450525924875,0.7735,3.75,0.6875,4.5,3.0,3.8323,0.4741,0.4919,0.8437,0.8711
30,"A iguana tending a beehive, in soft pastel colors",0.847538,0.464267971118,0.8951570443098751,0.771,4.0,0.75,4.0,4.0,3.8025,0.4222,0.4144,0.7799,0.7833
31,A lemur tailor in a lantern-lit alley,0.831761,0.524640396542,0.8402973749195,0.7683,3.75,0.6875,4.0,3.5,3.7751,0.3091,0.3307,0.6331,0.6808
32,"A hippo sketching in a cafe, in soft pastel colors",0.838866,0.43996413368799997,0.886084380721875,0.759,3.5,0.625,4.0,3.0,3.6741,0.3036,0.3055,0.6189,0.6414
33,"A wolf sketching in a cafe in an autumn park, in gentle morning light",0.842844,0.5170983676218749,0.8982154989874999,0.7788,3.5,0.625,3.5,3.5,3.8973,0.5832,0.599,0.9828,1.0
34,A tiny beetle holding a paper lantern on a train platform,0.851581,0.45276178754999996,0.894496076718,0.7714,4.75,0.9375,4.5,5.0,3.8012,0.41,0.401,0.7653,0.768
35,A newt reading under an umbrella in a snowy village,0.836136,0.49239885027987496,0.8614094914880001,0.7662,3.5,0.625,4.0,3.0,3.7533,0.343,0.3456,0.6762,0.6959
36,A lemur and a hamster forging a silver key,0.840483,0.519782398558,0.840215847074875,0.7736,3.0,0.5,3.0,3.0,3.85,0.3421,0.3604,0.6814,0.7207
37,"A kangaroo reading a giant book, in warm golden light",0.848338,0.45775837134387504,0.8960473267468749,0.7703,4.5,0.875,4.5,4.5,3.7907,0.4098,0.4013,0.7637,0.7671
38,"A chameleon flying a kite in a storm, in warm golden light",0.844606,0.4393824552138749,0.8731739776995,0.7621,3.75,0.6875,4.5,3.0,3.7067,0.2993,0.301,0.6141,0.6365
39,A axolotl potter reading under an umbrella,0.810928,0.4867648371875001,0.8301219958080001,0.7447,3.25,0.5625,3.0,3.5,3.5238,0.0774,0.0922,0.1153,0.2202
40,"A mantis watering a rooftop garden, in gentle morning light",0.852523,0.43906210022487496,0.8674747730754999,0.7673,4.25,0.8125,4.0,4.5,3.7588,0.3144,0.3076,0.6362,0.6481
41,A bumblebee knight beside a waterfall,0.838779,0.440800045112,0.872432584222,0.7582,4.25,0.8125,4.0,4.5,3.6617,0.2703,0.2664,0.57,0.5894
42,A lemur potter on a cliff overlooking the sea,0.852762,0.460441810438875,0.8553404874955,0.7711,3.75,0.6875,4.5,3.0,3.8059,0.3106,0.3144,0.6288,0.6532
43,A tiny turtle holding a steaming teacup under a starry sky,0.844622,0.427376542272,0.8885914148538749,0.7607,4.5,0.875,5.0,4.0,3.6851,0.3155,0.3071,0.6362,0.646
44,A llama flying a hot air balloon beside a waterfall,0.830771,0.4736745518755,0.842594507448,0.7571,3.25,0.5625,4.0,2.5,3.6562,0.1832,0.1867,0.4071,0.4462
45,A newt watering a rooftop garden in an enchanted forest,0.830322,0.4332712744595,0.872617074413875,0.7505,3.5,0.625,4.5,2.5,3.5807,0.2165,0.2182,0.4751,0.5062
46,"A dolphin reading tarot cards, in a whimsical cartoon style",0.843858,0.45922436097549996,0.8666024818468749,0.7652,3.75,0.6875,4.5,3.0,3.7411,0.3134,0.315,0.6374,0.6583
47,A tiny salamander holding a pocket watch on a rooftop at night,0.84766,0.457402116168875,0.863666089029875,0.7674,3.75,0.6875,4.0,3.5,3.7647,0.318,0.3199,0.641,0.662
48,A mantis meteorologist flying a hot air balloon,0.841626,0.4604078799875,0.882488482798,0.765,3.5,0.625,4.0,3.0,3.7394,0.3503,0.352,0.6942,0.7118
49,A chinchilla shepherd rowing across a misty lake,0.844724,0.48332103155,0.880212436928,0.7719,3.75,0.6875,4.5,3.0,3.8138,0.4256,0.4277,0.7968,0.8087
50,A elephant and a gecko folding origami cranes,0.838902,0.42696547448799993,0.891998577421875,0.7568,3.5,0.625,4.5,2.5,3.6498,0.2912,0.2949,0.5987,0.6248
51,A snail chasing fireflies in a neon nightclub,0.833726,0.46109823595,0.8710290256048749,0.7587,3.75,0.6875,4.0,3.5,3.6689,0.2736,0.275,0.5842,0.6081
52,A frog and a butterfly reading tarot cards,0.825112,0.446550685728,0.8492197330594999,0.7479,3.25,0.5625,4.0,2.5,3.5539,0.143,0.1453,0.3127,0.3558
53,A butterfly baker reading a giant book,0.827966,0.4119591813875,0.8729041391819999,0.7444,3.75,0.6875,5.0,2.5,3.5103,0.1811,0.1857,0.4045,0.4458
54,A hummingbird planting tulips under a starry sky,0.846403,0.498411913168875,0.8784459293754999,0.7761,3.75,0.6875,4.5,3.0,3.8605,0.4852,0.4893,0.8685,0.8784
55,A panda skateboarding down a hill in a neon nightclub,0.847294,0.44845944875,0.8681491453468749,0.7656,4.5,0.875,4.5,4.5,3.7407,0.313,0.3091,0.6347,0.6508
56,A crab mountaineer tending a beehive,0.820896,0.438108762899875,0.8716528256595,0.7447,3.25,0.5625,3.5,3.0,3.5196,0.172,0.1757,0.3853,0.4263
57,A mantis blacksmith flying a hot air balloon,0.836368,0.4531320853395,0.861321332448,0.7582,3.75,0.6875,4.0,3.5,3.6639,0.246,0.2474,0.5267,0.554
58,A cheerful snail ranger with a small telescope,0.832373,0.44101962975200004,0.871997171596875,0.7536,4.0,0.75,4.0,4.0,3.6118,0.2359,0.232,0.5128,0.535
59,A hippo and a zebra blowing glass ornaments,0.838051,0.420636661088,0.876985980573875,0.7538,3.25,0.5625,4.0,2.5,3.6184,0.2494,0.2525,0.5326,0.5623
60,A badger detective in a misty valley,0.833177,0.49816607398749996,0.868913144952,0.7658,4.5,0.875,4.0,5.0,3.7423,0.3688,0.3631,0.7189,0.7282
61,A beaver and a snail knitting a scarf,0.836529,0.457749106996875,0.864684189182,0.7595,3.25,0.5625,4.0,2.5,3.6797,0.2658,0.2672,0.5636,0.5887
62,A newt jeweler playing a tiny violin,0.836933,0.39638180695799996,0.864689235349875,0.747,3.75,0.6875,4.5,3.0,3.5385,0.1831,0.1941,0.418,0.4709
63,"A duck sipping tea in a garden in an autumn park, photorealistic",0.829883,0.47841923994887503,0.864446014578875,0.759,3.75,0.6875,4.5,3.0,3.6729,0.2728,0.2745,0.578,0.6027
64,A elephant reading tarot cards at a mountain lake at sunrise,0.834728,0.4773004987499999,0.8865699964195,0.7639,3.5,0.625,3.5,3.5,3.7276,0.3626,0.3647,0.7121,0.7291
65,A mantis teacher in a cozy library,0.832597,0.457916212371875,0.8512994051755001,0.7558,3.75,0.6875,3.5,4.0,3.637,0.2003,0.2021,0.4393,0.4727
66,A turtle riding a unicycle on a rooftop at night,0.840537,0.440560184832,0.876860580324875,0.7597,3.75,0.6875,4.5,3.0,3.6802,0.2911,0.2927,0.6027,0.6257
67,A cheerful whale clockmaker with a slice of cake,0.831414,0.486504056096875,0.8613799503995,0.7616,3.75,0.6875,3.5,4.0,3.7011,0.2952,0.2972,0.6077,0.6309
68,A dog weaver in a cozy library,0.81965,0.47470325711950007,0.858781112333875,0.7505,3.25,0.5625,3.0,3.5,3.5836,0.1896,0.1944,0.42,0.4605
69,"A jellyfish blowing glass ornaments in a sunflower field, with bold vi",0.831818,0.470003494729875,0.860186063662,0.7584,3.5,0.625,4.0,3.0,3.6666,0.2519,0.2534,0.5377,0.5645
70,A cheerful axolotl beekeeper with a knitted scarf,0.833656,0.461334151083875,0.853830741198,0.7574,3.75,0.6875,4.5,3.0,3.6553,0.2215,0.2232,0.4796,0.5103
71,A raccoon acrobat exploring a cave,0.838425,0.4814917528595,0.850652918671875,0.7648,3.25,0.5625,3.5,3.0,3.7402,0.2772,0.2797,0.5735,0.5994
72,A alpaca detective on a rainy street,0.822656,0.463710990693875,0.847597268099875,0.7496,4.25,0.8125,4.5,4.0,3.563,0.1504,0.1384,0.3298,0.3404
73,A cheerful chameleon judge with a basket of apples,0.827441,0.4867278964848751,0.871999808248,0.7595,3.75,0.6875,4.0,3.5,3.6783,0.2999,0.3022,0.6281,0.6507
74,"A raccoon racing a paper airplane, in soft pastel colors",0.852452,0.434927608721875,0.8566233991179999,0.7657,3.0,0.5,3.5,2.5,3.7577,0.2624,0.266,0.5578,0.5864
75,"A penguin sketching in a cafe, in soft pastel colors",0.836562,0.4539483201795,0.885389213738875,0.7602,3.5,0.625,4.5,2.5,3.6872,0.3146,0.3164,0.6403,0.6612
76,A lion violinist conducting an orchestra,0.822194,0.46760862684687504,0.8683993267468749,0.7515,3.25,0.5625,4.0,2.5,3.5944,0.2136,0.2168,0.4786,0.5125
77,A moth archer painting a mural,0.829729,0.42044309315199996,0.8665456112620001,0.747,3.5,0.625,4.5,2.5,3.5419,0.1832,0.1858,0.4075,0.4449
78,A giraffe rowing across a misty lake on a wooden bridge,0.856508,0.479779103534875,0.890408296899875,0.7803,2.5,0.375,2.5,2.5,3.9212,0.5016,0.5081,0.8835,0.8979
79,A jellyfish and a robin rowing across a misty lake,0.838713,0.44280726549887495,0.873434841089875,0.7586,3.75,0.6875,4.5,3.0,3.6683,0.2759,0.2774,0.5799,0.6041
80,A turtle and a jellyfish planting a bonsai tree,0.84856,0.465494893982,0.8848305291195,0.7712,3.5,0.625,4.0,3.0,3.8081,0.4083,0.4108,0.7685,0.7826
81,"A ferret blowing glass ornaments, in a dreamy haze",0.842044,0.46197865526199994,0.8654199247355,0.7644,3.5,0.625,4.0,3.0,3.7329,0.3063,0.3078,0.6269,0.6483
82,A squirrel blowing glass ornaments in a lavender meadow,0.827302,0.46857094826887496,0.87296287795,0.7557,3.5,0.625,4.0,3.0,3.638,0.2554,0.2572,0.5587,0.5848
83,A koala mixing a bubbling potion in a bustling market,0.855421,0.500401551523875,0.8994780400619999,0.7845,4.5,0.875,5.0,4.0,3.9426,0.5791,0.559,0.9815,0.9583
84,A tiny platypus holding a bowl of ramen on a cliff overlooking the sea,0.84967,0.47512145806200007,0.865741926858875,0.7727,3.5,0.625,4.0,3.0,3.8246,0.3806,0.3832,0.7305,0.7468
85,A snail writing a letter in a sunflower field,0.841712,0.40626035545387496,0.8593882563995,0.7521,3.75,0.6875,4.0,3.5,3.5956,0.1946,0.2011,0.4401,0.4824
86,"A elephant mixing a bubbling potion, in warm golden light",0.842565,0.45981369388750004,0.898043079168,0.7667,4.0,0.75,4.0,4.0,3.7548,0.3874,0.3778,0.7326,0.7363
87,A beetle sailor in a cluttered workshop,0.827928,0.473041295398875,0.87568021195,0.7573,3.25,0.5625,4.0,2.5,3.6571,0.2758,0.2775,0.5938,0.6178
88,A walrus dancing in the rain at a mountain lake at sunrise,0.841971,0.5017264545968749,0.8954496308398749,0.7748,4.5,0.875,4.5,4.5,3.8371,0.5155,0.5049,0.8964,0.8899
89,A beetle juggling glowing orbs in a snowy village,0.839808,0.521342335718875,0.876544789794875,0.776,4.0,0.75,4.5,3.5,3.8567,0.5369,0.5162,0.9265,0.9061
90,A tiny ant holding a bouquet of wildflowers in a greenhouse,0.855671,0.38384716219549997,0.8940296500848751,0.76,3.75,0.6875,4.5,3.0,3.6816,0.2976,0.334,0.6388,0.7073
91,A robin and a jellyfish racing a paper airplane,0.844906,0.469311624622,0.883138356599875,0.7693,2.25,0.3125,2.0,2.5,3.7909,0.3935,0.3973,0.7526,0.7669
92,A cheerful octopus barber with a steaming teacup,0.840415,0.449121741096875,0.852835974296875,0.7597,4.0,0.75,4.5,3.5,3.678,0.2258,0.2205,0.4892,0.5101
93,A hippo sipping tea in a garden on a rainy street,0.834352,0.471460263552,0.8537812808874999,0.76,4.25,0.8125,4.5,4.0,3.6815,0.2459,0.2407,0.5224,0.5422
94,A pony beekeeper in an enchanted forest,0.828927,0.43450488203950005,0.874252688634875,0.7499,3.5,0.625,4.5,2.5,3.5738,0.2146,0.2164,0.4722,0.5036
95,A tiny cat holding a bunch of balloons in a coral reef,0.840169,0.4711558955499999,0.861539344589875,0.7647,4.75,0.9375,4.5,5.0,3.7319,0.3052,0.3015,0.6228,0.6397
96,"A ladybug reading a giant book at a mountain lake at sunrise, in soft ",0.843622,0.4823532879875,0.881444073263875,0.771,4.25,0.8125,4.0,4.5,3.8016,0.4195,0.4154,0.7891,0.7966
97,"A mantis painting a mural, in a dreamy haze",0.836812,0.42782932049549993,0.882956483779875,0.7548,3.5,0.625,4.5,2.5,3.6278,0.2666,0.269,0.5605,0.5872
98,"A rhino playing a tiny violin, watercolor style",0.846751,0.45374513580000003,0.8712309347980001,0.7665,3.75,0.6875,4.0,3.5,3.755,0.331,0.3328,0.6634,0.683
99,A tiny mole holding a steaming teacup on a cliff overlooking the sea,0.84708,0.480848299582,0.827621824463875,0.7693,3.75,0.6875,3.5,4.0,3.7864,0.1775,0.1919,0.4192,0.4794
100,A robin and a snail rowing across a misty lake,0.852637,0.47469797184687507,0.8521775940788751,0.7738,4.25,0.8125,4.0,4.5,3.8279,0.3305,0.321,0.6574,0.6648
101,A hare watering a rooftop garden in a coral reef,0.845399,0.46501921631487503,0.872341772663875,0.768,3.75,0.6875,4.5,3.0,3.771,0.3527,0.3544,0.698,0.7154
102,"A scorpion exploring a cave in an enchanted forest, photorealistic",0.835959,0.5101635094968751,0.843556243008,0.7685,4.5,0.875,4.0,5.0,3.7661,0.3075,0.286,0.6246,0.6161
103,"A goat tuning a grand piano, watercolor style",0.843675,0.4701886608,0.8707040016795,0.7677,3.75,0.6875,4.5,3.0,3.7679,0.3512,0.3528,0.6969,0.7142
104,"A pony tuning a grand piano, photorealistic",0.818577,0.46135189359387496,0.839781618343875,0.7456,3.5,0.625,4.5,2.5,3.5266,0.105,0.1107,0.2071,0.2685
105,A tiny cat holding an old brass compass in a misty valley,0.841824,0.462921915262,0.8543888901138751,0.7637,4.75,0.9375,4.5,5.0,3.7178,0.2662,0.2611,0.5574,0.5757
106,A dolphin baker in a bustling market,0.836725,0.42454404684687497,0.8547041530468751,0.752,3.25,0.5625,4.5,2.0,3.6001,0.1811,0.1834,0.4055,0.4422
107,A cheerful lamb sailor with a wooden music box,0.828808,0.449300830693875,0.850085850302,0.7512,4.0,0.75,5.0,3.0,3.5843,0.1652,0.1587,0.3657,0.3888
108,A fox mountaineer knitting a scarf,0.843996,0.477184093754875,0.886253370118875,0.7705,3.5,0.625,4.0,3.0,3.7999,0.4201,0.4223,0.7856,0.7982
109,"A pony sipping tea in a garden in a cherry blossom park, in soft paste",0.846748,0.45625306057949994,0.8878584790755,0.7682,3.5,0.625,3.5,3.5,3.775,0.3834,0.3859,0.7326,0.7487
110,A tiny lamb holding a basket of apples in a misty valley,0.852209,0.450980892884875,0.8924657783875,0.7714,4.5,0.875,4.0,5.0,3.8026,0.4055,0.3971,0.7599,0.7636
111,A fox and a lemur dancing in the rain,0.85349,0.51336554355,0.8825451359875,0.7846,4.25,0.8125,4.0,4.5,3.9483,0.5934,0.5772,1.0,0.9802
112,"A moth dancing in the rain, watercolor style",0.845716,0.4405194825995,0.876575996221875,0.7634,4.25,0.8125,4.5,4.0,3.7184,0.3164,0.3119,0.6398,0.655
113,A bumblebee forging a silver key in a candlelit cafe,0.838714,0.44750725350200005,0.857212325233875,0.7584,4.25,0.8125,4.5,4.0,3.6637,0.2329,0.2289,0.5018,0.5244
114,A rhino and a ant racing a paper airplane,0.829932,0.433134484268875,0.855938037563875,0.749,3.5,0.625,3.5,3.5,3.5643,0.1682,0.1698,0.3738,0.4112
115,A bear conducting an orchestra in a bustling market,0.843511,0.513558250033875,0.8817765138395,0.7774,3.75,0.6875,4.5,3.0,3.8755,0.5413,0.5511,0.9337,0.9466
116,A tiny otter holding a cup of hot cocoa in a cozy library,0.843702,0.49082020287187506,0.880532195879875,0.7727,3.75,0.6875,4.0,3.5,3.8232,0.4466,0.4493,0.8227,0.8337
117,A mole locksmith repairing a pocket watch,0.835265,0.429607452078,0.8696397303954999,0.7531,3.25,0.5625,4.5,2.0,3.6104,0.2289,0.2308,0.4967,0.5267
118,A scorpion and a alpaca rowing across a misty lake,0.839301,0.441589546048,0.8694531520848751,0.7585,3.25,0.5625,4.0,2.5,3.6688,0.2658,0.2673,0.562,0.5873
119,A ferret racing a paper airplane in a sunflower field,0.844789,0.46648195584687496,0.8856576124098751,0.7688,3.5,0.625,4.0,3.0,3.781,0.3925,0.3946,0.7488,0.7635
120,"A donkey planting a bonsai tree in a greenhouse, in warm golden light",0.854352,0.47892581618887503,0.8932400486719999,0.7788,3.75,0.6875,4.5,3.0,3.8907,0.495,0.5021,0.874,0.8872
121,"A goose tuning a grand piano, with bold vivid colors",0.836964,0.465851225428875,0.8787311774995001,0.7625,3.75,0.6875,4.5,3.0,3.7114,0.3237,0.3253,0.6627,0.682
122,"A spider conducting an orchestra, in warm golden light",0.831535,0.4226769446355,0.858406669448875,0.7482,3.5,0.625,4.0,3.0,3.555,0.1703,0.1725,0.3803,0.4187
123,"A beetle reading a giant book in a sunflower field, in warm golden lig",0.84898,0.491051093829875,0.877991117502,0.7764,3.5,0.625,4.0,3.0,3.8653,0.4704,0.4737,0.8506,0.8607
124,A rhino ranger photographing the moon,0.834411,0.441687022272,0.864322894188875,0.7546,3.5,0.625,4.5,2.5,3.6256,0.2266,0.228,0.4927,0.5221
125,A wombat and a elephant folding origami cranes,0.841619,0.414794611232,0.884251448614875,0.7556,3.5,0.625,4.0,3.0,3.6374,0.2737,0.2786,0.574,0.6037
126,A iguana cobbler exploring a cave,0.836745,0.46194589275549996,0.8938003111980001,0.7626,4.0,0.75,4.5,3.5,3.7103,0.3527,0.3464,0.6877,0.698
127,"A llama fishing off a wooden pier, in gentle morning light",0.842285,0.44064851195,0.8785240044875001,0.7611,3.5,0.625,4.0,3.0,3.6965,0.3047,0.3064,0.623,0.6448
128,A sloth and a turtle ice skating at night,0.83853,0.479432360894875,0.871338920222,0.766,4.25,0.8125,4.5,4.0,3.7475,0.3478,0.3441,0.6961,0.7092
129,A tiny flamingo holding a bouquet of wildflowers in an enchanted fores,0.858659,0.4683293315195,0.884547768909875,0.7791,3.5,0.625,4.5,2.5,3.8968,0.4614,0.4721,0.8348,0.8548
130,A otter florist beside a waterfall,0.818797,0.449260671548875,0.866622302248875,0.7451,4.25,0.8125,3.5,5.0,3.5123,0.1643,0.1482,0.3683,0.3691
131,A kangaroo tuning a grand piano on a cliff overlooking the sea,0.853512,0.5089142263355,0.8799830101995,0.7835,3.75,0.6875,4.5,3.0,3.9433,0.5686,0.5786,0.969,0.9802
132,A bear bookbinder planting a bonsai tree,0.844653,0.49170421867187497,0.856703107739875,0.7719,3.5,0.625,3.5,3.5,3.8163,0.3697,0.3726,0.7093,0.7274
133,A narwhal skier picking apples in autumn,0.832995,0.499451282496875,0.860225431928,0.7654,3.75,0.6875,4.5,3.0,3.7423,0.3425,0.3463,0.6729,0.6945
134,A beaver beekeeper on a rooftop at night,0.841155,0.448074399873875,0.8897466129248749,0.7626,4.25,0.8125,4.5,4.0,3.7096,0.3392,0.3344,0.6701,0.6831
135,A goat firefighter picking apples in autumn,0.817171,0.5069002815754999,0.8394513720838749,0.754,3.25,0.5625,3.0,3.5,3.6271,0.1675,0.1804,0.3785,0.4384
136,A cheerful hedgehog magician with a wooden music box,0.839828,0.48145630349487495,0.877292838268875,0.7677,3.5,0.625,4.0,3.0,3.7694,0.3798,0.3816,0.7411,0.756
137,A kangaroo playing a tiny violin on a foggy harbor,0.842186,0.44260668555000005,0.8589245907738751,0.76,4.25,0.8125,4.5,4.0,3.6806,0.2464,0.2422,0.526,0.5472
138,A cheerful salamander magician with a pocket watch,0.829674,0.4614718435755,0.8604624711995,0.7551,3.75,0.6875,3.5,4.0,3.6294,0.2238,0.2253,0.4881,0.518
139,A elephant and a spider flying a hot air balloon,0.834179,0.4297601941795,0.8796002890354999,0.7531,3.25,0.5625,3.5,3.0,3.6104,0.2483,0.2503,0.5309,0.5589
140,"A beetle folding origami cranes on a cliff overlooking the sea, in a w",0.84455,0.4521502479948751,0.878464693952,0.7651,3.5,0.625,4.5,2.5,3.7405,0.3377,0.3394,0.6742,0.693
141,A cheerful camel fisherman with a wooden music box,0.839188,0.4280840873355,0.8917466411555,0.7572,3.75,0.6875,4.5,3.0,3.6522,0.2943,0.2978,0.6033,0.6288
142,A tiny gecko holding a small telescope in a lantern-lit alley,0.848294,0.5106877595988749,0.8791245082498751,0.7801,4.5,0.875,5.0,4.0,3.8963,0.548,0.5367,0.943,0.9327
143,A crab jeweler repairing a pocket watch,0.833989,0.418415473489875,0.8529225795355,0.7487,3.5,0.625,4.5,2.5,3.5605,0.1573,0.1602,0.3547,0.3963
144,A tiny turtle holding a jar of fireflies on a floating island,0.842989,0.44839489519987497,0.860712919668875,0.7619,3.75,0.6875,4.0,3.5,3.7048,0.2671,0.2686,0.5609,0.5863
145,A mantis and a llama playing a tiny violin,0.841509,0.4799956641755,0.876102372744875,0.7686,2.5,0.375,3.0,2.0,3.7816,0.3822,0.3861,0.7434,0.7582
146,"A peacock solving a crossword, in a whimsical cartoon style",0.824059,0.44856964257887505,0.8741553393995,0.7493,3.75,0.6875,4.5,3.0,3.5654,0.2065,0.2089,0.4622,0.4955
147,A penguin carpenter tuning a grand piano,0.844911,0.45973864188749997,0.8841668989548749,0.7674,3.75,0.6875,4.5,3.0,3.7643,0.3722,0.3742,0.7215,0.7377
148,A mantis and a wombat tuning a grand piano,0.840732,0.47621283813387505,0.8572897279820001,0.7659,3.0,0.5,3.5,2.5,3.7517,0.3054,0.3071,0.6191,0.6412
149,A robin teacher on a rooftop at night,0.82388,0.44919767920000003,0.845764595746875,0.7473,3.75,0.6875,4.0,3.5,3.5428,0.13,0.1328,0.2794,0.3264
150,"A moth picking apples in autumn in a cozy library, in a cozy hand-draw",0.834847,0.5008049764875,0.855686286024875,0.7667,3.5,0.625,4.0,3.0,3.7587,0.3393,0.3436,0.6654,0.688
151,"A whale reading a giant book in a candlelit cafe, in warm golden light",0.851141,0.501222937329875,0.877987219694875,0.7801,3.75,0.6875,4.5,3.0,3.9045,0.5207,0.5266,0.9104,0.9201
152,"A giraffe mixing a bubbling potion at a countryside fair, in gentle mo",0.850204,0.46971867382200005,0.8776001228620001,0.7728,3.5,0.625,4.5,2.5,3.8252,0.407,0.4097,0.7698,0.784
153,A shark baker sipping tea in a garden,0.827351,0.48418041292987496,0.875318589048,0.7592,4.25,0.8125,4.0,4.5,3.67,0.3004,0.2941,0.6313,0.644
154,"A shark brewing coffee at dawn in a misty valley, in a dreamy haze",0.836194,0.450345118404875,0.874095052649875,0.7584,3.75,0.6875,3.0,4.5,3.6662,0.2763,0.2777,0.5846,0.6084
