prompt_id,prompt,q_text,clip_score,aesthetic,q_image,semantic_score,wer_inv,q_audio,transcript
31,A marshmallow lifting weights over a campfire.,0.8481,0.3737,0.568,0.4661,0.8585,0.1966,0.4728,"The scene unfolds in a serene rustic setting, illuminated by the warm golden glow of a crackling campfire. The air is fi"
32,A sad hotdog sitting alone at a fancy restaurant table.,0.8582,0.3613,0.7113,0.521,0.8507,0.184,0.4618,"The scene unfolds in a dimly lit, upscale restaurant, where the ambience is sophisticated and elegant. The walls are ado"
33,A box of french fries taking a selfie together.,0.8424,0.2743,0.6153,0.4303,0.8588,0.1815,0.4628,"What an imaginative and whimsical scene. In a small colorful cafe, a box of French fries sat on a table, surrounded by t"
34,A sentient alarm clock screaming and running away.,0.8481,0.2712,0.4383,0.3512,0.8783,0.2016,0.4827,The scene unfolded in a chaotic and surreal manner as if the very fabric of reality had been warped by the sentient alar
35,A walking toaster throwing slices of burnt toast like boomerangs.,0.8472,0.3445,0.5903,0.4599,0.8438,0.166,0.4475,"The scene unfolds in a whimsical dream-like atmosphere, as if the laws of physics have been playfully distorted. In the "
36,A group of broccoli pieces having a loud rock concert.,0.8366,0.379,0.7868,0.5621,0.842,0.1948,0.4661,"The scene is set in a dimly lit underground music venue, aptly named the Green Room. The walls are adorned with vibrant "
37,A business suit made entirely out of bubble wrap popping.,0.8461,0.2976,0.6618,0.4631,0.8784,0.1952,0.4785,"The scene unfolds like a surreal dreamscape, where the laws of physics and reality are distorted. In the center of the r"
38,A toilet paper roll escaping down a busy city street.,0.8506,0.3427,0.6006,0.4634,0.8498,0.1818,0.46,"The scene unfolds on a bustling city street, teeming with people rushing to infrow. The morning sun casts a warm glow ov"
39,A giant rubber ducky driving a red convertible car.,0.8445,0.3478,0.9137,0.5907,0.8225,0.1882,0.4551,What a whimsical and fantastical scene. Let me paint a vivid picture for you. The sun-kissed highway stretches out befor
40,A cloud in the sky blowing bubble gum.,0.8495,0.2736,0.5818,0.4159,0.8522,0.1929,0.4682,"What an imaginative and whimsical scene. Let me paint a vivid picture for you. The sky above is a brilliant blue, with a"
41,A couch sitting on a human living room floor.,0.8483,0.27,0.9357,0.5475,0.8841,0.1617,0.4577,The scene before us is a quintessential representation of a cozy living room with a plush couch taking center stage. The
42,A professional office meeting run entirely by plush teddy bears.,0.851,0.3731,0.6804,0.515,0.857,0.1592,0.4472,The scene unfolded in a sleek modern conference room with a large polished wooden table at its center. The walls were ad
43,A lawnmower cutting a lawn made entirely of green spaghetti.,0.8518,0.3364,0.5152,0.4218,0.8483,0.1895,0.4647,"The scene unfolds like a surreal dreamscape, as if the laws of reality have been twisted and distorted. The lawn, once a"
44,A grandfather clock walking on two robotic legs.,0.85,0.3342,0.5042,0.4155,0.8633,0.1862,0.4675,"The scene unfolds in a dimly lit, ornate room with high ceilings and intricately carved wooden paneling. The air is thic"
45,A computer monitor wearing reading glasses and looking confused.,0.8462,0.3193,0.7695,0.519,0.8723,0.1892,0.4724,"The scene is a whimsical and humorous depiction of a computer monitor, typically a sleek and modern device, now sporting"
46,A baby rattle shaking itself to heavy metal music.,0.8526,0.277,0.673,0.4554,0.8465,0.1822,0.4592,"The scene unfolds in a dimly lit cramped room with a handful of scattered items on the floor. A worn out baby rattled, i"
47,Cat riding a vacuum cleaner.,0.838,0.3486,0.5306,0.4355,0.8517,0.2063,0.477,"The scene unfolds in a quaint, suburban living room with a hint of chaos and whimsy. The walls are painted a soothing li"
48,Banana playing the saxophone.,0.8433,0.3126,0.4075,0.3589,0.8442,0.1975,0.4686,"The scene unfolds in a small dimly lit jazz club, the air thick with the smell of smoke and the hum of anticipation. The"
49,Dinosaur on a pogo stick.,0.8314,0.3003,0.8804,0.5483,0.8202,0.1717,0.4434,"The scene unfolds in a vibrant prehistoric landscape, teeming with lush greenery and towering trees, the air is filled w"
50,Robot eating a bowl of cereal.,0.8353,0.3605,0.9252,0.603,0.8243,0.1542,0.4331,"The scene unfolds in a quiet morning lit kitchen. The walls are painted a soft creamy white, and the countertops are mad"
51,Pig flying a helicopter.,0.8354,0.3721,0.5431,0.4539,0.8286,0.1959,0.4622,"The scene unfolds in a picturesque landscape, with rolling hills and lush green forests stretching as far as the eye can"
52,Shark wearing a party hat.,0.8357,0.3431,0.427,0.3842,0.8382,0.1934,0.4638,"The scene unfolds in a vibrant and whimsical underwater setting, teaming with colorful marine life. The camera pans acro"
53,Chicken lifting heavy weights.,0.8379,0.3207,0.5379,0.4234,0.8529,0.2119,0.481,"The scene is set in a dimly lit industrial-style gym. The walls are made of cold, grey concrete, and the air is thick wi"
54,Potato singing opera on stage.,0.8399,0.3569,0.7285,0.5254,0.8455,0.1941,0.4668,"The scene unfolds in a grand dimly lit opera house, the air thick with anticipation. The audience is hushed, their eyes "
55,Alien doing the chicken dance.,0.8331,0.316,0.9834,0.594,0.8284,0.2,0.4649,"The scene unfolds in a dimly lit, abandoned space station, the air thick with an eerie silence. The only sound is the fa"
